,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
COTL1,103.51524363873428,2.6971120204767853,0.5293815322179404,5.094835872299404,3.4904351022820633e-07,0.002723935553820922
MIEN1,980.4500842462551,3.7249263654687286,0.7603014687932292,4.8992755089386195,9.619068436987099e-07,0.0031473657052032734
STARD3,195.33216003357984,4.041742499768311,0.832660760657384,4.8540086079922435,1.2099048072283214e-06,0.0031473657052032734
RND3,122.04968379531984,1.63273819005564,0.34933373716848864,4.673863461599036,2.9558588087755726e-06,0.005766880535921142
TXNIP,203.24289085393326,-2.268397293497145,0.4947693770921195,-4.584756855464803,4.545150375631772e-06,0.007094070706286069
ERBB2,387.4447758926764,3.7581164019923934,0.831363005309587,4.5204277529680645,6.17148044420684e-06,0.008027038897765031
ACSL1,66.49564936670869,3.3487913790256867,0.767466583637346,4.363436077117989,1.2803536427013409e-05,0.01427411403948752
CTNNBIP1,93.17400547134415,2.249121075367949,0.5243357663327438,4.289467207431841,1.791022543918055e-05,0.017471424915920627
GRB7,404.10261407216274,3.2576390308631993,0.7671370095193373,4.246489206542555,2.1714623584671278e-05,0.01882899138386385
MAGED2,188.29806723108044,-2.14408621580905,0.5200188758811203,-4.123093055374402,3.738185916155436e-05,0.028995270180246197
CA12,69.62211638708511,-2.1769544440731936,0.5306400741379942,-4.10250667104172,4.086980676354538e-05,0.028995270180246197
PLOD2,19.841910801967718,1.798674190874503,0.44122992518070014,4.076500908540776,4.571847698665005e-05,0.02973224953365142
HMGA1,213.1791448823808,1.8895053156315298,0.4712973433745188,4.009157577894567,6.093574507298886e-05,0.03203016837757617
SLC35C1,18.423499703624653,2.244500566431177,0.557867601757044,4.023357082149889,5.73744060123889e-05,0.03203016837757617
TBC1D9,54.86037471641045,-2.358124538268807,0.5885407643040145,-4.006731022374353,6.156490590256825e-05,0.03203016837757617
CPE,30.164801584070954,3.0963241323696575,0.8138060681348815,3.8047444638327126,0.00014195065792708104,0.06923643340393378
DRC3,11.539468365004199,-2.4876606799498013,0.6693141596330073,-3.7167309911892716,0.00020181712659615538,0.08749893644202203
CFD,103.39521109024187,-3.0807468571849412,0.8260802358032835,-3.7293554834769913,0.00019197016818173568,0.08749893644202203
PDZK1IP1,432.512278649535,1.7496440704156389,0.4745976508879219,3.6865839245985317,0.00022728450948104182,0.09335412168368687
ARPC5L,116.95773657266773,1.121602164162664,0.3108048035230684,3.6087027981838027,0.00030773190556464383,0.12007698955132402
