,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
COTL1,103.4850061070833,2.696148585241493,0.5291649174197456,5.095100783302396,3.4855578017679085e-07,0.0027152495275772006
MIEN1,980.0182987934473,3.7239224188325823,0.7599706856285301,4.900086923422225,9.579426378361909e-07,0.0031280857881132774
STARD3,195.24062572421536,4.040724174937531,0.8323031820813092,4.8548705110474835,1.2046543471553058e-06,0.0031280857881132774
RND3,122.02762463538072,1.6320399250272635,0.34913405990314994,4.674536553322792,2.946181604198273e-06,0.005737688674176137
TXNIP,203.25273015721044,-2.2688947603498892,0.4945701349788615,-4.587609723840005,4.483497963729086e-06,0.0069852898274899156
ERBB2,387.28219070632815,3.7570133796548153,0.8310227457517266,4.520951320359223,6.156234508464551e-06,0.007992844470156475
ACSL1,66.50227179786367,3.3486543306253442,0.7672810478799779,4.3643125812605215,1.2752312520148992e-05,0.014191502075994379
CTNNBIP1,93.15855633144234,2.248548394935017,0.5241467491278207,4.289921474618698,1.7873630467379414e-05,0.017404447667610703
GRB7,403.93372111540975,3.2566032550890234,0.7668107893161746,4.246945009724227,2.167051201615253e-05,0.018757032067314244
MAGED2,188.29924945869647,-2.1445772094684528,0.5197649624260295,-4.1260518974933,3.6904402208444384e-05,0.028644152524852702
CA12,69.63081861065555,-2.1776017722466388,0.5304872579942654,-4.104908721992675,4.0447455426621275e-05,0.028644152524852702
PLOD2,19.83936301083217,1.7979109360518315,0.4411744195540222,4.075283734422584,4.5958276433615754e-05,0.029834581118155557
HMGA1,213.16024850949367,1.888916135058012,0.4712046849956085,4.008695573719978,6.105506303055483e-05,0.03170792940053481
SLC35C1,18.418603807374105,2.243619972739127,0.5576238235162374,4.023536796888298,5.733062185202801e-05,0.03170792940053481
TBC1D9,54.86543772847813,-2.358770106957822,0.588311677486255,-4.009388555801582,6.0876175152142394e-05,0.03170792940053481
CPE,30.15468956560946,3.0955628834414823,0.8134405894615317,3.8055180962762543,0.00014150766707721413,0.06889654540821863
CFD,103.40161086014716,-3.081340385551516,0.825727334398611,-3.731668139332822,0.00019021598346073042,0.08674422256638166
DRC3,11.54099079254435,-2.4882186331766,0.6691518394817378,-3.718466402339625,0.00020043594431256353,0.08674422256638166
PDZK1IP1,432.4432635217962,1.7490999152276065,0.474394723513704,3.687013848452047,0.0002269010135093718,0.09302941553884243
ARPC5L,116.95118821307783,1.1210438528741156,0.31082949808558547,3.6066198986218527,0.0003102115541212282,0.12082740033021838
