,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AGR3,264.7503662454232,-9.029060470242714,0.8967886458620611,-10.068214525132952,7.63515239207349e-24,8.659026327850545e-20
BTG2,281.4201629140001,-4.404681215224648,0.5652755836573319,-7.792095293991595,6.59069952271858e-15,3.737256164357571e-11
ANXA9,18.349440424475354,-6.006726223073255,0.780657277496522,-7.694447225722579,1.4210718324172617e-14,5.372125217148055e-11
XIST,83.97937172725067,-5.199665284540254,0.687283243964245,-7.565534777988506,3.8627215140405514e-14,1.0951781172683473e-10
SLC16A6,8.302623171997409,-5.815704991646974,0.8647834945039427,-6.725041618634244,1.755422604879544e-11,3.9816495523877814e-08
YBX1,986.5698539192309,2.8406330334810512,0.4413303648444238,6.436522976347709,1.2224133872711489e-10,2.3105650375070166e-07
RARRES1,282.95895482653503,6.117873355059683,0.9870264721785705,6.198287003950641,5.708098440313514e-10,9.247934915942223e-07
RAB11FIP1,60.27588673029498,-2.8130409401604646,0.4568746847354272,-6.1571390014517355,7.407083378326712e-10,9.333748065955916e-07
YBX3,128.69132827176355,3.782695370906781,0.6133332890211735,6.167438550324953,6.94050705598365e-10,9.333748065955916e-07
FAM198B,9.580478330693353,-4.495566341270174,0.738234378953599,-6.089619326103937,1.1317948079152726e-09,1.2835684916567106e-06
CAV2,46.72379401179,6.082234157460638,1.0036099704658519,6.0603564496648135,1.3582021962979823e-09,1.3417685227152638e-06
TBC1D9,36.843898495850674,-4.3042325915549755,0.7110642615569168,-6.053225881625109,1.4197356734488285e-09,1.3417685227152638e-06
ANKRD30A,115.99087229066839,-6.752349736069056,1.1243862455521962,-6.005364938231627,1.9090202312443357e-09,1.6653998801955392e-06
PGM1,39.88061079817044,2.3533446081051905,0.3960891598572655,5.941451689698452,2.825089974346065e-09,2.2885246713613375e-06
CSRP2,71.36799351612646,5.753088082153656,0.9727196879029066,5.914435734879367,3.3301522587852434e-09,2.51781711779223e-06
FSCN1,79.34027057056804,6.0779152244524735,1.0361141066597366,5.866067439277208,4.462523510328314e-09,3.163092445664588e-06
RP11-53O19.1,17.828367435030863,-6.46982157694922,1.1137173264181743,-5.809213364540902,6.276705582710092e-09,3.954673222973064e-06
AFF3,12.19668011642146,-5.069734221781324,0.8723764474996717,-5.8114065737466305,6.195010325959018e-09,3.954673222973064e-06
RASD1,57.152487472363426,-3.752203944954947,0.6790362268205512,-5.525778738674779,3.2802732568622634e-08,1.9579778424249965e-05
CAV1,140.04122297404948,5.821124545242952,1.0751322332921363,5.414333572176726,6.15173904034474e-08,3.488343622827484e-05
GLRX3,101.30336693741354,1.9901471155845865,0.37344700404001224,5.329128615452371,9.868509557815901e-08,5.329465090247149e-05
FBP1,43.68548039433514,-4.408719944489938,0.8376756324748251,-5.263039503088847,1.4169311873961538e-07,7.304280271027173e-05
RLN2,5.485174110584623,-4.189109271994976,0.805084705495872,-5.203314934935696,1.957646947123623e-07,9.652901751012612e-05
CCDC74B,10.829937146409488,-3.84982882280512,0.7529194458140226,-5.113201477540348,3.1674414561108913e-07,0.00014368781421501446
LY6G6C,5.549986106963114,-5.500022974481202,1.0755528881038026,-5.113670406462048,3.159584597275151e-07,0.00014368781421501446
SERPINE2,41.6952529255757,5.794326284708017,1.1357538869413888,5.10174462207853,3.365366679172208e-07,0.00014679470580189233
TOP2A,241.5084131021331,-1.6382630877603985,0.3238047333812458,-5.059416737529642,4.2054085940642327e-07,0.00017346046887483111
TUBB6,51.581614060931386,4.938605600555657,0.9767913605696514,5.055947257432262,4.2825968860728957e-07,0.00017346046887483111
NFATC4,12.120687418341284,-5.353071409206245,1.0693482494912203,-5.005919644749178,5.559594800285849e-07,0.0002174184987242821
SPHK1,50.98574754126976,4.958579073151596,0.9948195382171818,4.984400569813774,6.215419732232406e-07,0.00023329164478855778
SLC4A8,5.194155798146924,-3.3144185266290505,0.6656209286685169,-4.979438572130069,6.37689885234573e-07,0.00023329164478855778
ESR1,75.74728629999441,-5.003177115191689,1.0154742172324616,-4.926936627526769,8.352883105105515e-07,0.00028706074937879286
FOXP1,60.510595104304976,-1.9457384899617982,0.3948396547893106,-4.927920654271818,8.31093528239272e-07,0.00028706074937879286
ARMT1,85.62181791166229,-3.1399037533345204,0.6414463314397462,-4.89503735454673,9.828705723329239e-07,0.0003278451517890497
PLAUR,58.00889532575731,3.5341617112538266,0.7244906922086652,4.87813266514117,1.070948867584385e-06,0.0003470180316364146
WWP1,32.346459721119764,-2.296137792317906,0.47794803668231695,-4.804157808151236,1.5540422844031709e-06,0.0004895664874282322
EXOC6,16.932316019414873,-2.002458224710116,0.4175052177547912,-4.7962471833973535,1.6166576959234492e-06,0.0004955274305261577
SLC39A6,412.4354893236049,-3.6327923004526714,0.7664366999808908,-4.739846487705046,2.138801998397668e-06,0.0005991522938461613
MRPS5,65.04065580698331,1.6349388794124888,0.3449303080913242,4.7399107618563345,2.1381236560698003e-06,0.0005991522938461613
ZNF703,39.02530653101503,-3.3687259843131936,0.7100539616379073,-4.744323905386614,2.092038749338207e-06,0.0005991522938461613
FMO5,7.089679534990828,-4.14077704424909,0.8740832090294124,-4.737280159914106,2.1660562602674024e-06,0.0005991522938461613
MSI2,44.184403212925844,-2.006089572840269,0.4252621105825452,-4.717301454606965,2.3899344229031314e-06,0.0006297073872751191
DTL,28.310529316709186,-1.8357747234495259,0.38899291392985597,-4.71930119472705,2.366562012477546e-06,0.0006297073872751191
CXCL3,22.011722238887305,5.704522138666788,1.2104259204973788,4.712822190987723,2.443093646072237e-06,0.0006297073872751191
CCDC74A,37.43503594679252,-3.610421439966317,0.7685587164439949,-4.697652063164662,2.6316924266578096e-06,0.0006632449735716938
SLC22A5,9.85394001877386,-2.549826656601897,0.5514578117028244,-4.623792795188429,3.767862568366432e-06,0.0008902360289134106
ANKRA2,17.496912546287287,-2.0170839194086714,0.4359933688194678,-4.6264096283626905,3.7205909874546344e-06,0.0008902360289134106
CFAP43,3.0380083770595547,-3.563375350043615,0.7695472210139025,-4.6304830330603455,3.6481367763596598e-06,0.0008902360289134106
RNF145,26.21059849822632,3.9732225170621978,0.8608313878715763,4.6155641778886265,3.920288674185252e-06,0.0009073468133456111
MPP2,2.098831357289505,-3.5184055428339858,0.7665806475850105,-4.589739584371401,4.437993430386966e-06,0.0010066256698803716
STARD10,146.68282939559228,-2.9865785759906562,0.6515809959910377,-4.583587603638053,4.570652631413951e-06,0.0010163876763306984
NAT1,16.697748062257926,-4.785130660169291,1.0462797441120937,-4.573471566373586,4.797088045335616e-06,0.001046226452349062
MAGED2,140.14042370380218,-2.603324527525482,0.5702663141581533,-4.565103115670787,4.992488794274654e-06,0.0010485151002938675
RHOH,42.21579353367641,-4.1111386946092585,0.8998951621975986,-4.568464047044778,4.913113231978567e-06,0.0010485151002938675
LRRC46,2.7508193297533605,-3.055997509388735,0.6739186415109428,-4.534668313280533,5.769407866550948e-06,0.0011896519020828055
TFF1,162.07969082574,-5.0234070723296265,1.1136594886505464,-4.510720847371969,6.460769751222671e-06,0.0013084212455110056
TMEM106C,235.3730018560548,-1.3039399142134012,0.29137313146758925,-4.475154959023544,7.63559143229467e-06,0.0014617831593182126
ATG16L2,21.908108296767484,-2.809402613452208,0.6278634186177191,-4.474544192489005,7.657448834579315e-06,0.0014617831593182126
ACTR3B,29.183119752648036,3.8080292898376773,0.8507374370193406,4.476151070980912,7.600071663246706e-06,0.0014617831593182126
DCUN1D5,76.38738268964701,2.0266199661927295,0.4531363427556881,4.472428659921892,7.733620453142823e-06,0.0014617831593182126
SLC7A8,15.708937357102304,-4.404836622543395,0.9979135867898689,-4.414046146734069,1.0145631761375727e-05,0.0018862558984551168
EVL,37.41191020062036,-2.7678363397869203,0.6291383734404231,-4.399407915068184,1.0854662443301699e-05,0.0019855278511207186
HMGA1,347.6893589873597,2.717994987622973,0.6199465101517099,4.384241129057797,1.1639079682767708e-05,0.0020952190901947394
C1S,41.38326408133542,4.38275717692166,1.0011517615625505,4.377715092945809,1.199299816714879e-05,0.0021231724495582075
TNFRSF18,19.642312300602534,-3.203078952644759,0.7332548195453537,-4.368302624496613,1.2521590822071814e-05,0.0021231724495582075
DDIT4,374.0009893349487,2.7489496888641725,0.6293489943100692,4.367925767288687,1.2543210838585653e-05,0.0021231724495582075
PFN2,206.06071052286683,2.6051338268340896,0.5960285867473104,4.3708202672811565,1.2378065220150272e-05,0.0021231724495582075
LYRM9,3.781765704086493,-2.608052802254525,0.5987432182814066,-4.355878651520277,1.3253418951612882e-05,0.0022103974166212013
SLF1,22.375868108583134,-1.8380029480552722,0.4240283742973154,-4.334622538176,1.460104383983005e-05,0.0023322596927818676
USB1,29.691220492555132,1.938511144876181,0.4470716751716457,4.336018702441665,1.4508660479777372e-05,0.0023322596927818676
SERBP1,335.19680474038915,1.7085305164156521,0.3940475758028753,4.335848312058529,1.4519905174464244e-05,0.0023322596927818676
NDUFA2,226.92830073088078,-1.264237912048343,0.29291901529409664,-4.315998095169828,1.5888334872491676e-05,0.0025026334137351123
MRAS,19.789050684799637,4.438204978225995,1.0377302408268871,4.276838819585263,1.8956594982391517e-05,0.0029214788192943437
ZNF467,4.1517373796204815,-2.908316425187745,0.6802130652807108,-4.275596241285867,1.906264285581355e-05,0.0029214788192943437
HIRIP3,56.60602643531173,-1.6579499081687088,0.3885526144263027,-4.266989454225316,1.9812852143607924e-05,0.002995967415475433
SSU72,161.53076519822665,1.6226864080776908,0.3808406561476837,4.260801418870678,2.036951630494382e-05,0.0030210121742023414
GADD45G,42.89503757561181,-3.180602727976767,0.7477585090081726,-4.253515927482417,2.1043996275635742e-05,0.0030210121742023414
KIF13B,12.37086863873394,-2.0824428248840428,0.48896016539025583,-4.258921221572261,2.0541584213225677e-05,0.0030210121742023414
ZNF552,27.471821804584632,-3.0201493784362743,0.7096591802450095,-4.255774409053046,2.0832667985418027e-05,0.0030210121742023414
CYB561D2.1,5.140718814391545,-3.9071450503372915,0.9192734862581203,-4.250253171383444,2.135290255789489e-05,0.003027040848863574
COX6C,2374.457420544399,-2.756925794259026,0.6497089665091723,-4.2433242211073985,2.202328911298525e-05,0.0030459283150044603
PTRF,40.842801483742484,4.138751441300094,0.9753457862977953,4.243368351454014,2.201895672991726e-05,0.0030459283150044603
RRAS2,15.470014487347534,3.587570246372148,0.8471393208448389,4.234923533940462,2.2862949063199254e-05,0.0031239603051294307
CDK6,23.133428359300847,4.689878039755395,1.109460420728654,4.227170210069549,2.3664865461543325e-05,0.0031950385618971767
STC2,61.93478288646013,-4.337352265668909,1.0289025615792142,-4.215513137620836,2.4921088293095258e-05,0.0033250595568469804
FOSL1,25.632143387054153,4.708974238494919,1.1184765746985807,4.210167959721414,2.551809074831486e-05,0.003365124036937661
THSD4,10.466376143152228,-2.950308556316709,0.7040911272049182,-4.190236806461066,2.786634769839616e-05,0.003632554589051849
ZMYND10,19.329394899189715,-3.7774098885468685,0.9045164106602772,-4.17616512428939,2.964646508697099e-05,0.0038206881880833866
TXNIP,116.81573403922765,-2.3490068453654733,0.5643362200767669,-4.162424387798354,3.148864261821159e-05,0.004012502201495929
IL6ST,87.89667837499444,-2.4942619568381437,0.6017317268414873,-4.145139512471147,3.396068793059639e-05,0.004279424020232152
RRM1,84.78528219680575,-1.3370457231784059,0.3235906669578641,-4.131904469767997,3.5976994801570305e-05,0.0044836823960946025
MOCOS,17.016924262597705,3.199736925489272,0.7753115929409623,4.127033510942126,3.674728614038511e-05,0.004529901870848995
FAM136A,99.88910493917314,1.4842614449116032,0.3606084946412085,4.11599135064299,3.855187626164671e-05,0.004701256222401456
FAM234B,5.72319821026331,-2.3901042875228846,0.5814232751054502,-4.110781920605778,3.943214993510122e-05,0.004757446940574286
ARMC10,82.8957963623556,1.6749760379124146,0.40819645268063376,4.103357652700839,4.071970269890227e-05,0.004810499967558575
INPP4B,16.96719362281444,-2.8178394938665443,0.6867160368612044,-4.103354723949853,4.072021840098961e-05,0.004810499967558575
FHL3,13.687112087977999,3.134903151993865,0.7657438861412375,4.093931677066826,4.241193342117605e-05,0.004958698318861418
