,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
IL7R,179.67946350077605,-1.6400925519829017,0.308312610943066,-5.319576604298442,1.040090138083065e-07,0.0009289045023219854
CCL5,51.112914098613984,2.0861337707499565,0.43181574004948636,4.831073944898081,1.3579855386359903e-06,0.006064084422779015
AIM1,44.058458395774174,-1.8117294148960421,0.401557494609213,-4.5117559483211185,6.429313960671005e-06,0.00957003383045879
MEPCE,4.794654725596513,-1.9000050487881188,0.41069225590009933,-4.6263473963587325,3.7217085435688708e-06,0.00957003383045879
NEK10,2.0029273021339704,-3.1685707789870037,0.6929584570421725,-4.572526313499005,4.8187868570463916e-06,0.00957003383045879
FILIP1L,4.028356930776325,-2.7133799575423416,0.5965015713087704,-4.548822816323815,5.394683973864481e-06,0.00957003383045879
JMY,15.076450256028355,-2.0416696326722463,0.4587181855533105,-4.450814676574384,8.55451422022265e-06,0.01091433807154407
TCF4,2.524246310709384,-2.2824678479181997,0.5384362096457246,-4.239068262923842,2.244494062470011e-05,0.02227286274657741
PCAT29,7.555986626983241,-1.8673274023919906,0.43802518124602013,-4.263059482288512,2.0164681296086613e-05,0.02227286274657741
MRPL1,24.08694432726717,-1.8926681604116613,0.4564559264434259,-4.146442297636029,3.37681229529236e-05,0.024296023868726428
SULF2,2.2465826942168254,-2.8819077457657896,0.6963006821790085,-4.138883990099114,3.4899935904088284e-05,0.024296023868726428
TLE4,12.34707327778159,-1.9506304784834594,0.4710673152689896,-4.140874170753297,3.459847272466566e-05,0.024296023868726428
CISH,7.832801880769826,2.5128033392389355,0.6075673888603628,4.1358430115090545,3.536539136641401e-05,0.024296023868726428
ELL2,15.564095591484135,-1.6717246258988294,0.40619055836333384,-4.115616652033272,3.861456392843045e-05,0.024633333603200882
CDKN1C,1.7597081707462876,-3.486206010604802,0.8694664111978619,-4.00959251065474,6.0823620404118016e-05,0.035683641096037146
TMEM65,2.5392311428290233,-2.110156158182902,0.5278262953531796,-3.997823103471857,6.392769651064767e-05,0.035683641096037146
IL6ST,46.6164090130221,-1.4196271320341936,0.3583172619708276,-3.9619278296164606,7.434701566365115e-05,0.03688851093844824
GZMB,12.045094097625752,2.8958114285592322,0.730052040164173,3.9665822013291363,7.291063686075953e-05,0.03688851093844824
KLF9,10.375251990665632,-1.4038868682645171,0.361909556466169,-3.8791096924122015,0.00010483947380659891,0.04928007055614394
