,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PSAT1,76.46535931588296,7.476416432720878,1.025323108142032,7.291766247489289,3.0591760646009807e-13,4.823096983449906e-09
MTHFD1L,32.38807101571278,6.179607714909682,0.865186796320958,7.142512739661871,9.164002036984404e-13,7.223982805754806e-09
CENPW,173.55447316223191,4.040373342654222,0.5854644353448846,6.90114223637534,5.158604842408678e-12,2.7110187981805073e-08
PLIN5,50.68308175347821,-5.682681484424098,0.8738517283122454,-6.503027115823884,7.871959941096063e-11,3.102733010783013e-07
CDCA7,33.2400741510484,4.947396159786312,0.7855880081432987,6.297698168126645,3.0209802265443183e-10,7.93812904194962e-07
CLEC7A,19.365758353527408,5.348501910949478,0.8468244037211672,6.315951556717977,2.6850415459598256e-10,7.93812904194962e-07
USB1,95.90982919363037,2.505362564473481,0.3998241314943735,6.266161462314681,3.700566313319991e-10,8.334732642257569e-07
PGM1,129.00853818829867,1.7274136600003924,0.28383442722755414,6.0859906138711635,1.1577322462733106e-09,2.281600824343127e-06
HOXB-AS1,24.905191262283527,-3.7617101565245226,0.623665227628851,-6.031617588856744,1.6232654234874394e-09,2.84360029630033e-06
MCCC2,202.65218357638707,-2.2936982744428476,0.3821762055219189,-6.001677344905498,1.9528948205230017e-09,3.0789339740365644e-06
RGS11,32.50867362959305,-4.557554659005373,0.7692975788261361,-5.9243065160294694,3.136180145878763e-09,4.495001470902235e-06
ENO1,1552.5102583931375,2.4579946730880664,0.4181934167636665,5.877650327712241,4.161307657432772e-09,5.467264710590423e-06
PDSS1,26.690649899923752,2.0216945693596187,0.34790359143178223,5.811077031540324,6.207219139922582e-09,6.719065783488144e-06
BAG2,45.326419956952535,4.326845122097867,0.746609225961238,5.79532769170804,6.818790595953971e-09,6.719065783488144e-06
CAV2,118.82342523309148,4.751638363396608,0.8160481912675757,5.822742350566137,5.7889765029360144e-09,6.719065783488144e-06
NFATC4,78.61284684288039,-4.918619517554223,0.8485776341486823,-5.796310578570369,6.778967190632554e-09,6.719065783488144e-06
RIBC1,13.715047436881424,-2.4293887297670307,0.42192608118871644,-5.757853894508193,8.519003833445986e-09,7.900624378712318e-06
RP11-496I9.1,11.121410475792244,-3.9020702463245964,0.679741178410535,-5.7405235555229375,9.438429069894243e-09,8.267015150886258e-06
CIAPIN1,87.4790046733303,1.565652929750625,0.27389618634243906,5.716227562924755,1.0891486198325382e-08,8.858259843569318e-06
GLIPR2,72.79788325098261,5.467088554922136,0.9573055227803378,5.710912999899833,1.1237168392197539e-08,8.858259843569318e-06
EME2,20.758416647744873,-2.5066552166006937,0.4401334740848096,-5.695216029212276,1.2321580652897287e-08,9.250573360646602e-06
ACSL4,16.56813116879587,4.780540130414324,0.8459536568924115,5.651066215583856,1.594556472498811e-08,1.0064443039192722e-05
SLC22A5,83.31510261738912,-2.3799538542667826,0.42116215850142075,-5.650920450059271,1.5959093998466196e-08,1.0064443039192722e-05
P4HTM,164.4727023466005,-1.7222780272866598,0.3047553823727821,-5.651345724814596,1.591965314000948e-08,1.0064443039192722e-05
NHLRC4,8.402594379970308,-3.696900384240023,0.652520517047321,-5.665569568553388,1.4653695463505945e-08,1.0064443039192722e-05
SLC16A6,34.35171636906718,-4.991977678126422,0.8860652077601068,-5.633871677171134,1.762081562692873e-08,1.0684991506698398e-05
SSH3,83.50454517261927,-1.5821260352714883,0.28134285110949475,-5.6234804937543865,1.871479046151619e-08,1.077822076552357e-05
FMNL2,17.641965974885018,3.8643926356786125,0.6876653118580381,5.619583493658,1.9141835686582518e-08,1.077822076552357e-05
MRAS,47.38111284983132,4.303188907053689,0.7704405201593317,5.585361613851466,2.332144325833302e-08,1.2619361669687262e-05
CERS2,352.19209536041484,-1.188225523400785,0.21322318724463932,-5.57268437244345,2.5084379112373727e-08,1.2619361669687262e-05
UPP1,110.9099009860606,3.9930103181945262,0.7169066495091658,5.569777210084971,2.5506527241143083e-08,1.2619361669687262e-05
FSCN1,247.31008099555706,4.88252794848257,0.8767255927399822,5.569049185872942,2.5613318116833208e-08,1.2619361669687262e-05
CCNB2,20.11870389561323,3.7808605778887663,0.6827238914343712,5.537905770289295,3.061098719724672e-08,1.4194494827993874e-05
AC018816.3,159.34578308205428,-5.7620580431282065,1.0402480926874242,-5.539119065570448,3.039969194956724e-08,1.4194494827993874e-05
TPGS2,239.6849005173323,1.4212137701174918,0.25794073064850626,5.509846260202187,3.5914724263075164e-08,1.5303555208963327e-05
AKR1C1,46.71729420261274,7.655616424726888,1.3891481891162727,5.511014940455793,3.5677043467433596e-08,1.5303555208963327e-05
NMI,109.38520556091578,1.533195176409072,0.2781442159944256,5.512231023491062,3.5431341960279136e-08,1.5303555208963327e-05
GPR143,11.95225182670071,-2.627134985502321,0.47738568423926364,-5.503170857938028,3.7302059563966336e-08,1.5450499860546492e-05
NAT1,164.2071757187889,-4.57314971945799,0.8316500345609096,-5.4988871874123095,3.821955439308088e-08,1.5450499860546492e-05
RP11-347C12.10,17.843239997551777,-2.64939090705693,0.48557965964978045,-5.456140623698647,4.865946202132384e-08,1.917912695570479e-05
SLC6A14,30.45021888241036,5.535321571239747,1.0170785729839913,5.44237359656467,5.257526599280041e-08,1.9897621107895573e-05
TNFAIP6,13.354229588154546,5.425435319218671,0.9971542543458641,5.440918790220447,5.300647510666079e-08,1.9897621107895573e-05
ACTR3B,108.9405830885136,2.9493737609968154,0.5437516222258382,5.424119470069079,5.8240920118810856e-08,2.0346523835617873e-05
